Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.A.USD.EUR.SP00.A,
,EXR.A.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
2019,1.1195
2018,1.181
2017,1.1297
2016,1.1069
2015,1.1095
2014,1.3285
2013,1.3281
2012,1.2848
2011,1.392
2010,1.3257
2009,1.3948
2008,1.4708
2007,1.3705
2006,1.2556
2005,1.2441
2004,1.2439
2003,1.1312
2002,0.9456
2001,0.8956
2000,0.9236
1999,1.0658
