country,gross_2019_euros
Belgium,49565.06
Bulgaria,7771.22
Czechia,15923.65
Denmark,57312.45
Germany,52184.7
Estonia,17118.1
Ireland,48805.75
Greece,21382.04
Spain,27537.26
France,36547.25
Croatia,13664.33
Italy,31601.63
Cyprus,24058.3
Latvia,13000.61
Lithuania,14390
Luxembourg,60770.43
Hungary,13680.13
Malta,24582
Netherlands,53198.09
Austria,48412.48
Poland,13808.08
Portugal,18786.82
Romania,12047.29
Slovenia,20576.44
Slovakia,13198.52
Finland,45270.67
Sweden,43612.53
United Kingdom,46484.55
Iceland,70126.7
Norway,62400.36
