country,unit,year,montly_earnings
Aruba,Currency: 2017 PPP $,2010,1860.38
Aruba,Currency: U.S. dollars,2010,1683.24
Angola,Currency: 2017 PPP $,2011,683.46
Angola,Currency: U.S. dollars,2011,588.85
Albania,Currency: 2017 PPP $,2015,889.85
Albania,Currency: U.S. dollars,2015,371.77
Albania,Currency: 2017 PPP $,2016,894.05
Albania,Currency: U.S. dollars,2016,382.81
Albania,Currency: 2017 PPP $,2017,952.1
Albania,Currency: U.S. dollars,2017,411.14
Albania,Currency: 2017 PPP $,2018,989.54
Albania,Currency: U.S. dollars,2018,468.46
Albania,Currency: U.S. dollars,2019,476.83
Argentina,Currency: U.S. dollars,2010,620.72
Argentina,Currency: 2017 PPP $,2011,996.93
Argentina,Currency: U.S. dollars,2011,766.75
Argentina,Currency: 2017 PPP $,2012,1078.6
Argentina,Currency: U.S. dollars,2012,865.27
Argentina,Currency: 2017 PPP $,2013,1097.03
Argentina,Currency: U.S. dollars,2013,913.85
Argentina,Currency: 2017 PPP $,2014,1017.11
Argentina,Currency: U.S. dollars,2014,800.11
Argentina,Currency: 2017 PPP $,2017,1340.88
Argentina,Currency: U.S. dollars,2017,874.98
Argentina,Currency: 2017 PPP $,2018,1302.86
Argentina,Currency: U.S. dollars,2018,656.95
Argentina,Currency: U.S. dollars,2019,530.92
Armenia,Currency: 2017 PPP $,2015,700.08
Armenia,Currency: U.S. dollars,2015,209.93
Armenia,Currency: 2017 PPP $,2016,728.69
Armenia,Currency: U.S. dollars,2016,208.3
Armenia,Currency: 2017 PPP $,2017,618.86
Armenia,Currency: U.S. dollars,2017,214.5
Armenia,Currency: 2017 PPP $,2018,633.72
Armenia,Currency: U.S. dollars,2018,219.69
Armenia,Currency: 2017 PPP $,2010,646.77
Armenia,Currency: U.S. dollars,2010,274.72
Armenia,Currency: 2017 PPP $,2011,652.62
Armenia,Currency: U.S. dollars,2011,290.18
Armenia,Currency: 2017 PPP $,2012,775.18
Armenia,Currency: U.S. dollars,2012,281.67
Armenia,Currency: 2017 PPP $,2013,1021.14
Armenia,Currency: U.S. dollars,2013,357.7
Armenia,Currency: 2017 PPP $,2014,861.56
Armenia,Currency: U.S. dollars,2014,381.28
Austria,Currency: 2017 PPP $,2011,2841.89
Austria,Currency: U.S. dollars,2011,3365.75
Austria,Currency: 2017 PPP $,2012,2894.41
Austria,Currency: U.S. dollars,2012,3182.42
Austria,Currency: 2017 PPP $,2013,2972.53
Austria,Currency: U.S. dollars,2013,3337.56
Austria,Currency: 2017 PPP $,2015,3055.99
Austria,Currency: U.S. dollars,2015,2883.62
Austria,Currency: 2017 PPP $,2016,3179.94
Austria,Currency: U.S. dollars,2016,2928.87
Austria,Currency: 2017 PPP $,2017,3231.37
Austria,Currency: U.S. dollars,2017,3037.71
Austria,Currency: 2017 PPP $,2018,3338.72
Austria,Currency: U.S. dollars,2018,3268.88
Azerbaijan,Currency: 2017 PPP $,2010,1071.57
Azerbaijan,Currency: U.S. dollars,2010,413.01
Azerbaijan,Currency: 2017 PPP $,2011,1126.02
Azerbaijan,Currency: U.S. dollars,2011,461.2
Azerbaijan,Currency: 2017 PPP $,2012,1304.81
Azerbaijan,Currency: U.S. dollars,2012,507.1
Azerbaijan,Currency: 2017 PPP $,2013,1370.7
Azerbaijan,Currency: U.S. dollars,2013,541.85
Azerbaijan,Currency: 2017 PPP $,2014,1375.16
Azerbaijan,Currency: U.S. dollars,2014,566.71
Azerbaijan,Currency: 2017 PPP $,2015,1413.55
Azerbaijan,Currency: U.S. dollars,2015,455.71
Azerbaijan,Currency: 2017 PPP $,2016,1395.01
Azerbaijan,Currency: U.S. dollars,2016,313.21
Azerbaijan,Currency: 2017 PPP $,2017,1085.29
Azerbaijan,Currency: U.S. dollars,2017,307.06
Azerbaijan,Currency: 2017 PPP $,2018,1120.31
Azerbaijan,Currency: U.S. dollars,2018,320.35
Azerbaijan,Currency: U.S. dollars,2019,373.41
Burundi,Currency: 2017 PPP $,2014,113.46
Burundi,Currency: U.S. dollars,2014,41.4
Belgium,Currency: 2017 PPP $,2011,3279.15
Belgium,Currency: U.S. dollars,2011,4019.97
Belgium,Currency: 2017 PPP $,2013,3415.86
Belgium,Currency: U.S. dollars,2013,3952.48
Belgium,Currency: 2017 PPP $,2014,3439.95
Belgium,Currency: U.S. dollars,2014,3929.71
Belgium,Currency: 2017 PPP $,2015,3561.59
Belgium,Currency: U.S. dollars,2015,3419.52
Belgium,Currency: 2017 PPP $,2016,3619.18
Belgium,Currency: U.S. dollars,2016,3421.44
Benin,Currency: 2017 PPP $,2011,0.38
Benin,Currency: U.S. dollars,2011,0.18
Burkina Faso,Currency: 2017 PPP $,2018,538.37
Burkina Faso,Currency: U.S. dollars,2018,192.68
Bangladesh,Currency: 2017 PPP $,2016,453.62
Bangladesh,Currency: U.S. dollars,2016,164.59
Bangladesh,Currency: 2017 PPP $,2017,407.12
Bangladesh,Currency: U.S. dollars,2017,149.38
Bulgaria,Currency: 2017 PPP $,2010,770.3
Bulgaria,Currency: U.S. dollars,2010,438.61
Bulgaria,Currency: 2017 PPP $,2011,845.78
Bulgaria,Currency: U.S. dollars,2011,487.75
Bulgaria,Currency: 2017 PPP $,2012,907.23
Bulgaria,Currency: U.S. dollars,2012,480.33
Bulgaria,Currency: 2017 PPP $,2013,995.19
Bulgaria,Currency: U.S. dollars,2013,525.93
Bulgaria,Currency: 2017 PPP $,2014,1098.5
Bulgaria,Currency: U.S. dollars,2014,557.6
Bulgaria,Currency: 2017 PPP $,2015,1157.84
Bulgaria,Currency: U.S. dollars,2015,497.62
Bulgaria,Currency: 2017 PPP $,2016,1288.5
Bulgaria,Currency: U.S. dollars,2016,536.19
Bulgaria,Currency: 2017 PPP $,2017,1387.12
Bulgaria,Currency: U.S. dollars,2017,597.54
Bulgaria,Currency: 2017 PPP $,2018,1520.69
Bulgaria,Currency: U.S. dollars,2018,691.59
Bahrain,Currency: 2017 PPP $,2015,3849.14
Bahrain,Currency: U.S. dollars,2015,2087.77
Bahrain,Currency: 2017 PPP $,2016,3923.7
Bahrain,Currency: U.S. dollars,2016,2191.49
Bahrain,Currency: 2017 PPP $,2017,4100.69
Bahrain,Currency: U.S. dollars,2017,2226.06
Bahrain,Currency: 2017 PPP $,2018,4193.72
Bahrain,Currency: U.S. dollars,2018,2268.62
Bosnia and Herzegovina,Currency: 2017 PPP $,2010,782.65
Bosnia and Herzegovina,Currency: U.S. dollars,2010,471.49
Bosnia and Herzegovina,Currency: 2017 PPP $,2011,810.23
Bosnia and Herzegovina,Currency: U.S. dollars,2011,501.31
Bosnia and Herzegovina,Currency: 2017 PPP $,2012,815.93
Bosnia and Herzegovina,Currency: U.S. dollars,2012,458.74
Bosnia and Herzegovina,Currency: 2017 PPP $,2013,871.64
Bosnia and Herzegovina,Currency: U.S. dollars,2013,493
Bosnia and Herzegovina,Currency: 2017 PPP $,2014,905
Bosnia and Herzegovina,Currency: U.S. dollars,2014,507.31
Bosnia and Herzegovina,Currency: 2017 PPP $,2015,899.96
Bosnia and Herzegovina,Currency: U.S. dollars,2015,418.74
Bosnia and Herzegovina,Currency: 2017 PPP $,2016,942.11
Bosnia and Herzegovina,Currency: U.S. dollars,2016,420.61
Bosnia and Herzegovina,Currency: 2017 PPP $,2017,943.06
Bosnia and Herzegovina,Currency: U.S. dollars,2017,432.34
Bosnia and Herzegovina,Currency: 2017 PPP $,2018,990.95
Bosnia and Herzegovina,Currency: U.S. dollars,2018,470.3
Bosnia and Herzegovina,Currency: U.S. dollars,2019,474.54
Belarus,Currency: U.S. dollars,2010,527.23
Belarus,Currency: U.S. dollars,2011,568.77
Belarus,Currency: U.S. dollars,2013,647.01
Belarus,Currency: 2017 PPP $,2016,1617.95
Belarus,Currency: U.S. dollars,2016,385.21
Belarus,Currency: 2017 PPP $,2017,1562.48
Belarus,Currency: U.S. dollars,2017,498.51
Belarus,Currency: 2017 PPP $,2018,1734.95
Belarus,Currency: U.S. dollars,2018,537.39
Belarus,Currency: U.S. dollars,2019,578.88
Belize,Currency: 2017 PPP $,2014,1155.86
Belize,Currency: U.S. dollars,2014,753.03
Belize,Currency: 2017 PPP $,2015,887.24
Belize,Currency: U.S. dollars,2015,599.35
Belize,Currency: 2017 PPP $,2016,824.58
Belize,Currency: U.S. dollars,2016,579.2
Belize,Currency: 2017 PPP $,2017,811.18
Belize,Currency: U.S. dollars,2017,599.06
Belize,Currency: U.S. dollars,2018,608.98
Belize,Currency: U.S. dollars,2019,510
Bermuda,Currency: U.S. dollars,2010,5835.5
Bermuda,Currency: 2017 PPP $,2012,3358.68
Bermuda,Currency: U.S. dollars,2012,5869.8
Bermuda,Currency: 2017 PPP $,2013,3567.71
Bermuda,Currency: U.S. dollars,2013,6221.1
Bolivia,Currency: 2017 PPP $,2011,706.36
Bolivia,Currency: U.S. dollars,2011,294.38
Bolivia,Currency: 2017 PPP $,2012,845.82
Bolivia,Currency: U.S. dollars,2012,335.36
Bolivia,Currency: 2017 PPP $,2013,938.6
Bolivia,Currency: U.S. dollars,2013,377.84
Bolivia,Currency: 2017 PPP $,2014,979.08
Bolivia,Currency: U.S. dollars,2014,392.45
Bolivia,Currency: 2017 PPP $,2015,2154.62
Bolivia,Currency: U.S. dollars,2015,852.19
Bolivia,Currency: 2017 PPP $,2016,2370.28
Bolivia,Currency: U.S. dollars,2016,914.14
Bolivia,Currency: 2017 PPP $,2017,2508.33
Bolivia,Currency: U.S. dollars,2017,948.13
Bolivia,Currency: 2017 PPP $,2018,2627.41
Bolivia,Currency: U.S. dollars,2018,991.49
Bolivia,Currency: U.S. dollars,2019,987.72
Brazil,Currency: 2017 PPP $,2012,851.07
Brazil,Currency: U.S. dollars,2012,724.4
Brazil,Currency: 2017 PPP $,2013,855.6
Brazil,Currency: U.S. dollars,2013,710.91
Brazil,Currency: 2017 PPP $,2014,880.67
Brazil,Currency: U.S. dollars,2014,711.46
Brazil,Currency: 2017 PPP $,2015,881.19
Brazil,Currency: U.S. dollars,2015,551.74
Brazil,Currency: 2017 PPP $,2016,915.25
Brazil,Currency: U.S. dollars,2016,589.6
Brazil,Currency: 2017 PPP $,2017,933.9
Brazil,Currency: U.S. dollars,2017,681.06
Brazil,Currency: 2017 PPP $,2018,970
Brazil,Currency: U.S. dollars,2018,625.23
Brazil,Currency: U.S. dollars,2019,603.46
Brazil,Currency: 2017 PPP $,2011,740.07
Brazil,Currency: U.S. dollars,2011,730.51
Brunei Darussalam,Currency: 2017 PPP $,2014,2717.75
Brunei Darussalam,Currency: U.S. dollars,2014,1651.35
Botswana,Currency: U.S. dollars,2019,476.62
Botswana,Currency: 2017 PPP $,2010,1144.93
Botswana,Currency: U.S. dollars,2010,683.14
Botswana,Currency: 2017 PPP $,2011,1110.06
Botswana,Currency: U.S. dollars,2011,691.85
Canada,Currency: 2017 PPP $,2010,2732.48
Canada,Currency: U.S. dollars,2010,3435.69
Canada,Currency: 2017 PPP $,2011,2820.59
Canada,Currency: U.S. dollars,2011,3662.62
Canada,Currency: 2017 PPP $,2012,2912.16
Canada,Currency: U.S. dollars,2012,3742.07
Canada,Currency: 2017 PPP $,2013,2931.36
Canada,Currency: U.S. dollars,2013,3708.02
Canada,Currency: 2017 PPP $,2014,2965.6
Canada,Currency: U.S. dollars,2014,3520.01
Canada,Currency: 2017 PPP $,2015,2982.17
Canada,Currency: U.S. dollars,2015,3125.56
Canada,Currency: 2017 PPP $,2016,3132.92
Canada,Currency: U.S. dollars,2016,3073.39
Canada,Currency: 2017 PPP $,2017,3189.9
Canada,Currency: U.S. dollars,2017,3188.65
Canada,Currency: 2017 PPP $,2018,3277.09
