country,monthly_earnings
Switzerland,6198.84
Singapore,3663.43
Denmark,3611.41
United States,3558.85
Australia,3491.73
Norway,3290.86
Qatar,3254.89
Iceland,2938.78
Netherlands,2921.98
Hong Kong,2912.04
Sweden,2893.65
Finland,2848.25
Ireland,2802.51
New Zealand,2797.05
Germany,2786.83
Japan,2710.36
United Arab Emirates,2630.59
United Kingdom,2534.73
Israel,2503.92
Canada,2484.50
France,2417.53
Austria,2413.61
South Korea,2412.58
Belgium,2399.61
Kuwait,1789.39
Oman,1750.65
Italy,1702.94
Saudi Arabia,1671.44
Spain,1577.66
Taiwan,1423.52
Bahrain,1417.61
Cyprus,1368.32
Estonia,1343.17
Malta,1342.16
Slovenia,1338.62
South Africa,1255.25
Czech Republic,1163.35
China,1017.49
Portugal,1016.67
Lithuania,1005.37
Slovakia,1003.03
Latvia,934.36
Croatia,910.93
Poland,875.25
Trinidad And Tobago,873.04
Greece,870.96
Malaysia,864.96
Lebanon,863.39
Hungary,815.33
Palestine,786.73
Panama,758.10
Costa Rica,754.31
Romania,676.27
Jamaica,661.12
Bulgaria,660.82
Jordan,641.33
Chile,640.66
Thailand,626.60
Uruguay,599.16
Iraq,584.23
Bosnia And Herzegovina,576.39
Montenegro,567.31
Serbia,526.63
Bolivia,523.37
Honduras,509.94
Guatemala,506.62
Ecuador,505.59
Mexico,504.31
Kosovo (Disputed Territory),465.90
India,447.99
Morocco,447.64
Argentina,443.41
Russia,438.07
Peru,426.04
Kazakhstan,415.36
Vietnam,414.47
Belarus,404.67
North Macedonia,398.62
Albania,397.67
Turkey,392.57
Kenya,387.88
El Salvador,364.74
Ukraine,353.33
Brazil,351.27
Armenia,348.86
Paraguay,344.27
Iran,343.10
Dominican Republic,340.87
Azerbaijan,324.87
Moldova,323.12
Colombia,315.08
Philippines,312.70
Indonesia,308.42
Tunisia,300.91
Bangladesh,293.47
Georgia,292.93
Algeria,266.15
Sri Lanka,262.69
Uzbekistan,234.11
Egypt,222.97
Pakistan,221.44
Nepal,202.38
Nigeria,182.02
